Index,Requirement,Ground Truth,Response
8283,"If the transition action that ( prop_2 ) happens , or ( prop_1 ) then ( prop_4 ) , or right away ( prop_3 ) .",G((prop_1 | prop_2) -> (prop_3 | prop_4)),G((prop_2 | prop_1) -> (prop_4 | X prop_3))
8284,"(prop_3) is equivalent to (prop_1), and you do (prop_4), then you should do (prop_2) .",(prop_1 <-> prop_3) & (prop_4 -> prop_2),G((prop_3 <-> prop_1) & (prop_4 -> F prop_2))
8285,"If (prop_1), then (prop_2), and eventually do (prop_3) .",(prop_1 -> prop_2) & F prop_3,G(prop_1 -> (prop_2 & F prop_3))
8286,"first, in the future the engine breaks or the bar is down, and then, sooner or later both a house is built and the sensor captures data",G!(bar_is_down | engine_breaks) | F((bar_is_down | engine_breaks) & F(house_is_built & sensor_captures_data)),! (engine_breaks | bar_is_down) | F ((engine_breaks | bar_is_down) & F (house_is_built & sensor_captures_data))
8288,( prop_1 ) until at any time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
8289,when possible ( prop_1 ) can infer that whenever ( prop_2 ),F prop_1 -> F prop_2,G(prop_1 -> G(prop_2))
8290,"when at some time ( prop_1 ) , at some time ( prop_2 )",F prop_1 -> F prop_2,G(prop_1 -> F prop_2)
8291,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2))
8292,"first, at some point in time the escalator moves and a train stops, and then, at a certain moment a sensor gathers information",G!(escalator_moves & train_stops) | F(escalator_moves & train_stops & F sensor_gathers_information),! (escalator_moves & train_stops) | F ((escalator_moves & train_stops) & F (sensor_gathers_information))
8293,never drop apple or at any time walk_near flag,G!drop_apple | F walk_near_flag,G(!drop_apple) | G(walk_near_flag)
8294,"If (prop_3) is always true, then whenever (prop_1), (prop_2) should also be true .",G prop_3 -> (prop_1 -> prop_2),G prop_3 -> G(prop_1 -> prop_2)
8295,whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),G(prop_1 | prop_2)
8297,"As long as you keep seeing (prop_2), then you should either do (prop_1) or (prop_3) .",G prop_2 -> (prop_1 | prop_3),G(prop_2 -> (prop_1 | prop_3))
8301,"first, it will happen that the constructor creates instances and the motorbike has stopped, and then, in the future either a train is crossing or a manager collect claims",G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F(manager_collect_claims | train_is_crossing)),! (constructor_creates_instances & motorbike_has_stopped) | F ((constructor_creates_instances & motorbike_has_stopped) & F (train_is_crossing | manager_collect_claims))
8305,never ( prop_1 ) or at some time ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | F(prop_2 )
8306,"Switch light_west yellow should always hold, with at most a two-step grace period for recovery.",!G!(change_light_west_yellow & X change_light_west_yellow),G(change_light_west_yellow | X change_light_west_yellow | X X change_light_west_yellow)
8307,Take a picture of arch 2 and then make sure to go to park 8 and stay there indefinitely,F(arch_2 & photo & F(park_8 & G park_8)),! (photo & arch_2) | F ((photo & arch_2) & F (G park_8))
8309,"If (prop_2) is not the case, then (prop_3) and (prop_1) are equivalent, and vice versa .",!prop_2 <-> (prop_1 <-> prop_3),G(!prop_2 <-> (prop_3 <-> prop_1))
8310,In case that at some point ( prop_2 ) or ( prop_3 ) or ( prop_1 ) is detected and continued until then at some other point ( prop_4 ) should be detected as well .,(prop_1 | prop_2 | prop_3) U prop_4,F((prop_2 | prop_3 | prop_1) & F(prop_4))
8311,at some time ( prop_1 ) and don't ( prop_2 ),F(prop_1 & !F prop_2),F(prop_1 & ! prop_2)
8312,( prop_1 ) can infer that never ( prop_2 ),prop_1 -> G!prop_2,G(prop_1 -> G(!prop_2))
8313,"finally, the bridge closes and, at some point in time the elevator falls or the bar is up afterwards",G!bridge_closes | F(bridge_closes & F(bar_is_up | elevator_falls)),F(bridge_closes & F(elevator_falls | bar_is_up))
8314,On condition that ( prop_3 ) and ( prop_4 ) then the following condition is true : the transition action that ( prop_2 ) shall take place starting without any delay or in no time ( prop_1 ) .,G((prop_3 & prop_4) -> (prop_1 | prop_2)),G((prop_3 & prop_4) -> X(prop_2 & prop_1))
8315,"Globally , while ( prop_1 ) or ( prop_3 ) then there needs to exist a time in the future before the execution ends finally , after which ( prop_2 ) .",G((prop_1 | prop_3) -> FG prop_2),G((prop_1 | prop_3) -> F(prop_2))
8316,every time the house is built and the train derails then in any case either the manager handles requests or a motorbike has started,G((house_is_built & train_derails) -> G(manager_handles_requests | motorbike_has_started)),G((house_is_built & train_derails) -> (manager_handles_requests | motorbike_has_started))
8318,As soon as ( prop_2 ) and ( prop_3 ) then all of the following conditions are true : ( prop_4 ) or instantly ( prop_1 ) .,G((prop_2 & prop_3) -> (prop_1 | prop_4)),G((prop_2 & prop_3) -> (prop_4 | X prop_1))
8320,"when at some time ( prop_1 ) , never ( prop_2 )",F prop_1 -> G!prop_2,G(prop_1 -> G(!prop_2))
8321,"Either ( prop_2 ) or ( prop_3 ) should happen, and ( prop_4 ) occurs if and only if ( prop_1 ) is true.",(prop_1 <-> prop_4) & (prop_2 | prop_3),(F (prop_2 | prop_3)) & G (prop_4 <-> prop_1)
8323,repeatedly grab tree until approach trash can,GF grab_tree U approach_trash_can,G(grab_tree U approach_trash_can)
8327,"Either ( prop_2 ) happens and continues until ( prop_1 ) happens, or ( prop_3 ) does not happen.",!prop_3 | (prop_2 U prop_1),(prop_2 U prop_1) | G(!prop_3)
8328,"If ( prop_2 ) and ( prop_3 ) happens and continues to happen until at some other point ( prop_4 ) is detected , then the scenario is equivalent to ( prop_1 ) .",prop_1 <-> ((prop_2 & prop_3) U prop_4),G(((prop_2 & prop_3) U prop_4) <-> prop_1)
8329,when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G(prop_1 & prop_2)
8331,"If either (prop_2) or (prop_1) occurs, then (prop_4) and (prop_3) have occurred as well, and vice versa .",(prop_1 | prop_2) <-> (prop_3 & prop_4),G((prop_2 | prop_1) <-> (prop_4 & prop_3))
8333,"if at any time ( prop_1 ) , at any time ( prop_2 )",F prop_1 -> F prop_2,G(prop_1 -> F prop_2)
8338,each time the train derails then in the future the train is crossing after the brake is pressed,G(train_derails -> G(brake_is_pressed -> F train_is_crossing)),G(train_derails -> F(brake_is_pressed -> F(train_is_crossing)))
8341,"If (prop_1), then (prop_2), or else keep trying (prop_4) until (prop_3) .",(prop_1 -> prop_2) | (prop_4 U prop_3),G(prop_1 -> (prop_2 | (prop_4 U prop_3)))
8343,( prop_1 ) and whenever ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 -> prop_2)
8344,"The scenario in which ( prop_3 ) and ( prop_2 ) or ( prop_1 ) , is equivalent to the scenario in which ( prop_4 ) .",prop_4 <-> (prop_1 | (prop_2 & prop_3)),G((prop_3 & (prop_2 | prop_1)) <-> prop_4)
8345,always have_in orange or when possible snag orange,G have_in_orange | F snag_orange,G(have_in_orange | snag_orange)
8350,"If deliver_aid the injured_victim holds, then in the next step get_help persists until staying away from the inactive_gas_leak holds, or else get_help holds forever.",deliver_aid_injured_victim -> X((get_help U avoid_inactive_gas_leak) | G get_help),G(deliver_aid_injured_victim -> X(get_help U avoid_inactive_gas_leak | G get_help))
8351,"This controller must eventually, avoid geting help.",F!get_help,F(G(!get_help ))
8352,The scenario in which (prop_1) and (prop_2) are both true is equivalent to the scenario in which (prop_3) is not true .,!prop_3 <-> (prop_1 & prop_2),G((prop_1 & prop_2) <-> !prop_3)
8354,"if whenever set_out_to house , whenever snatch pear",F set_out_to_house -> F snatch_pear,G(set_out_to_house -> G(snatch_pear))
8359,"At some point during the coming time units ( prop_3 ) should happen and then implies ( prop_1 ) , and also ( prop_2 ) .",prop_2 & F(prop_3 -> prop_1),F(prop_3 & F(prop_1 & prop_2))
8360,drop orange and repeatedly make_way_to house,drop_orange & GF make_way_to_house,F(drop_orange & G(make_way_to_house ))
8361,"Pick up package 2 from store 3, take it to house 2, while avoiding mall 1 completely",F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1,F(store_3 & p_package_2 & F(house_2)) & G(!mall_1)
8364,"It should be the case that if you either do (prop_3) or (prop_2), then it is equavalent to the case that you should not do (prop_1) .",!prop_1 <-> (prop_2 | prop_3),G((prop_3 | prop_2) <-> !prop_1)
8365,"Achieve (prop_3), but only if (prop_1) and (prop_2) are currently happening .",prop_1 & prop_2 & F prop_3,G((prop_1 & prop_2) -> F prop_3)
8366,"at some point either the engine stops or the manager collect claims and, at a certain moment the sensor gathers information afterwards",G!(engine_stops | manager_collect_claims) | F((engine_stops | manager_collect_claims) & F sensor_gathers_information),F((engine_stops | manager_collect_claims) & F(sensor_gathers_information))
8371,"Once (prop_1), (prop_2).",prop_1 -> prop_2,G(prop_1 -> F(prop_2))
8373,"If (prop_2), then (prop_3), and (prop_1) should not happen .",!prop_1 & (prop_2 -> prop_3),G(prop_2 -> (prop_3 & !prop_1))
8374,"( prop_3 ) or ( prop_1 ) is equivalent to always having ( prop_2 ), which means if ( prop_3 ) or ( prop_1 ) is true, then ( prop_2 ) is always true and if ( prop_3 ) or ( prop_1 ) is false, then ( prop_2 ) is never true.",(prop_1 | prop_3) <-> G prop_2,((prop_3 | prop_1) <-> G prop_2) & ((prop_3 | prop_1) -> G prop_2) & (!(prop_3 | prop_1) -> G(!prop_2))
8375,"Always (prop_1), and if you do (prop_3) then you should also do (prop_2) .",(prop_3 -> prop_2) & G prop_1,G(prop_1 & (prop_3 -> prop_2))
8378,at any time procure pear or never drop pear,F procure_pear | G!drop_pear,G(procure_pear | G(!drop_pear))
8379,"Whenever neither search the cow nor get_help holds, pickup the clock eventually holds.",G(!(get_help & search_cow) -> F pickup_clock),G((!search_cow & !get_help) -> F(pickup_clock))
8381,"If ( prop_4 ) and ( prop_1 ) are equivalent to ( prop_2 ) , and also ( prop_3 ) .",prop_3 & (prop_2 <-> (prop_1 & prop_4)),G(((prop_4 & prop_1) <-> prop_2) & prop_3)
8387,"Whenever neither pickup the snowboard nor search the dog holds, get_help eventually holds.",G(!(pickup_snowboard & search_dog) -> F get_help),G((!pickup_snowboard & !search_dog) -> F get_help)
8388,"after the house collapses or a table is old, in any case a semaphore is yellow",G((house_collapses | table_is_old) -> G semaphore_is_yellow),G((house_collapses | table_is_old) -> F(semaphore_is_yellow))
8389,at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),G(prop_1 | prop_2)
8390,"it is going to happen that a train stops and an elevator is blocked and, finally, the car stops or the brake is released afterwards",G!(elevator_is_blocked & train_stops) | F(elevator_is_blocked & train_stops & F(brake_is_released | car_stops)),F((train_stops & elevator_is_blocked) & F(car_stops | brake_is_released))
8391,"when pick_up fruit , at any time grab orange",pick_up_fruit -> F grab_orange,G(pick_up_fruit -> G(grab_orange))
8392,don't ( prop_1 ) means that ( prop_2 ),!prop_1 -> prop_2,G(!prop_1 -> prop_2)
8393,( prop_1 ) or whenever ( prop_2 ),prop_1 | F prop_2,prop_1 | G(prop_2 -> prop_2)
8394,Keep visiting charging_station_5 and keep taking package_5 from warehouse_1 to store_5,GF charging_station_5 & GF(warehouse_1 & F(p_package_5 & F(pd & store_5))),G(F charging_station_5) & G(F(warehouse_1 & F(p_package_5 & F store_5)))
8395,whenever be_near tree or at some time grasp pear,F be_near_tree | F grasp_pear,G(be_near_tree ) | F(grasp_pear )
8396,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 )
8397,Make sure to (prop_2) a couple of times to (prop_1).,prop_2 U prop_1,F(prop_2 & F(prop_2 & F(prop_1)))
8401,The scenario in which (prop_3) happens and then (prop_1) should happen is always the same as the scenario in which (prop_2) happens .,(prop_3 -> prop_1) <-> G prop_2,G((prop_3 -> F prop_1) <-> prop_2)
8402,"in the future both a house collapses and a house is open and, in the future the constructor instantiate objects and an elevator rises afterwards",G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F(constructor_instantiate_objects & elevator_rises)),F(house_collapses & house_is_open) & F(constructor_instantiate_objects & F(elevator_rises))
8404,In the case ( prop_4 ) or the event that ( prop_2 ) is detected then the following condition holds : ( prop_1 ) or at the same moment the scenario that ( prop_3 ) ought not to be detected .,G((prop_2 | prop_4) -> (prop_1 | prop_3)),G((prop_4 | prop_2) -> (prop_1 | !prop_3))
8405,"Either do not let (prop_2) happen, or if (prop_3) occurs, then make sure to do (prop_1).",!prop_2 | (prop_3 -> prop_1),G(!prop_2) | G(prop_3 -> F prop_1)
8411,"Make sure that (prop_3) is always true, and at the same time, (prop_1) or (prop_2) should happen .",(prop_1 | prop_2) & G prop_3,G(prop_3 ) & F(prop_1 | prop_2 )
8413,"You must eventually, avoid going back to base.",F!go_home,F(G(!go_home ))
8414,"Try not to have (prop_3), and keep this state until (prop_1) and (prop_2) both happen .",!prop_3 U (prop_1 & prop_2),G(!prop_3 U (prop_1 & prop_2))
8417,at some time touch house until never drop apple,F touch_house U G!drop_apple,F(touch_house U G(!drop_apple))
8418,at any time ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2),G(prop_1 & F prop_2)
8420,"It is not the case that ( prop_2 ) until ( prop_1 ) happens some time in the future, which is equal to ( prop_3 ) .",prop_3 <-> !(prop_2 U prop_1),!(!prop_2 U prop_1) <-> prop_3
8422,"Everytime when ( prop_1 ) , and ( prop_4 ) , then all of the following conditions are true : without any delay ( prop_3 ) and ( prop_2 ) .",G((prop_1 & prop_4) -> (prop_2 & prop_3)),G((prop_1 & prop_4) -> X(prop_3 & prop_2))
8423,"first, in the future a train has arrived, and then, in the future either an elevator falls or the bar is up",G!train_has_arrived | F(train_has_arrived & F(bar_is_up | elevator_falls)),!train_has_arrived | F(train_has_arrived & F(elevator_falls | bar_is_up))
8424,"For all time (prop_2), or else either (prop_1) or (prop_3) .",prop_1 | prop_3 | G prop_2,G(prop_2 | (prop_1 | prop_3))
8426,enter blue_room via the non red_room,F blue_room & G!red_room,F(blue_room & !red_room)
8428,"If get_help holds, then in the next step communicate the safe_hostile persists until returning to base holds, or else communicate the safe_hostile holds forever.",get_help -> X((communicate_safe_hostile U go_home) | G communicate_safe_hostile),G(get_help -> X(communicate_safe_hostile U go_home | G communicate_safe_hostile))
8429,You need to wait until (prop_1) before (prop_2).,!prop_1 U prop_2,!prop_2 U prop_1
8430,Capture the image of monument_1 but refrain from entering monument until you have reached park_4,F(monument_1 & photo) & (!monument_1 U park_4),F(photo ) & G(!monument_1 U park_4 )
8431,"first, it is going to happen that the train has arrived, and then, at some point the escalator is blocked or a sensor captures data",G!train_has_arrived | F(train_has_arrived & F(escalator_is_blocked | sensor_captures_data)),!train_has_arrived | F(train_has_arrived & F(escalator_is_blocked | sensor_captures_data))
8433,always moving or always have_in orange,G moving | G have_in_orange,G(moving | have_in_orange)
8435,whenever have pear or repeatedly go_to apple trashcan,F have_pear | GF go_to_apple_trashcan,G(have_pear | GF go_to_apple_trashcan)
8436,repeatedly go_to waste basket can infer that take apple,GF go_to_waste_basket -> take_apple,G(go_to_waste_basket -> F(take_apple))
8437,"For each time instant ( prop_3 ) should happen , or else ( prop_1 ) or ( prop_2 ) should happen .",prop_1 | prop_2 | G prop_3,G(prop_3 | prop_1 | prop_2)
8438,acquire orange or reach trash can,acquire_orange | reach_trash_can,F(acquire_orange | reach_trash_can)
8439,"If ( prop_4 ) or ( prop_1 ) and ( prop_2 ) , or ( prop_3 ) .",prop_3 | (prop_2 & (prop_1 | prop_4)),G(prop_4 | (prop_1 & prop_2) | prop_3)
8441,"Everytime when ( prop_2 ) or ( prop_3 ) , then all of the following conditions are true : in the future ( prop_1 ) .",G((prop_2 | prop_3) -> G prop_1),G((prop_2 | prop_3) -> F(prop_1))
8443,"If ( prop_3 ) is equivalent to ( prop_4 ) and also ( prop_2 ) , then the scenario in which ( prop_1 ) .",(prop_2 & (prop_3 <-> prop_4)) -> prop_1,G(((prop_3 <-> prop_4) & prop_2) -> prop_1)
8444,when possible ( prop_1 ) can infer that don't ( prop_2 ),F prop_1 -> !F prop_2,G(prop_1 -> !prop_2)
8445,entering any room that isn t green will lead you to the blue_room,F blue_room & G!green_room,G(!green_room -> F blue_room)
8446,Keep doing (prop_2) after doing (prop_1),F(prop_2 -> G prop_1),G(prop_1 -> G(prop_2))
8447,Stay in park 5 until you arrive at bench 4 while transporting bottle 5 from store 2 to bench 4,(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd))),G((p_bottle_5 & store_2) -> F(p_bottle_5 & bench_4)) & (park_5 U (p_bottle_5 & bench_4))
