original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
Our agent must Eventually, both deliver_aid the injured_hostile and record injured_civilian hold simultaneously.;"F ( ""deliver_aid(injured_hostile)"" & ""record(injured_civilian)"" )";F(deliver_aid_injured_hostile & record_injured_civilian);['deliver_aid_injured_hostile', 'record_injured_civilian'];;;;F(ap_0 & ap_1);VLTL-Bench;F(prop & prop);F(prop & prop);0
Stay away from street 3 indefinitely;[]!street_3;G!street_3;['street_3'];Stay away from street_3 indefinitely;{'street 3': 'street_3'};{'street_3': 'ap_0'};G!ap_0;ConformalNL2LTL;G!prop;G!prop;0
after a table is old or the train has arrived, sooner or later the train derails;G(( table_is_old | train_has_arrived ) -> F( train_derails ));G((table_is_old | train_has_arrived) -> F train_derails);['train_derails', 'table_is_old', 'train_has_arrived'];after a table_is_old or the train_has_arrived, sooner or later the train_derails;;{'train_derails': 'ap_0', 'table_is_old': 'ap_1', 'train_has_arrived': 'ap_2'};G((ap_1 | ap_2) -> Fap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);0
every time a house is open and a motorbike has started then at no time a motorbike has stopped and a car starts;G(( house_is_open & motorbike_has_started ) -> G(!( motorbike_has_stopped & car_starts )));G((house_is_open & motorbike_has_started) -> G!(car_starts & motorbike_has_stopped));['house_is_open', 'car_starts', 'motorbike_has_stopped', 'motorbike_has_started'];every time a house_is_open and a motorbike_has_started then at no time a motorbike_has_stopped and a car_starts;;{'house_is_open': 'ap_0', 'car_starts': 'ap_1', 'motorbike_has_stopped': 'ap_2', 'motorbike_has_started': 'ap_3'};G((ap_0 & ap_3) -> G!(ap_1 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop & prop));G((prop & prop) -> G!(prop & prop));0
Do not pickup cone_1 or cone_2 at any time;"G ! ( ""p_cone_1"" | ""p_cone_2"" )";G!(p_cone_1 | p_cone_2);['p_cone_2', 'p_cone_1'];;;;G!(ap_1 | ap_0);VLTL-Bench;G!(prop | prop);G!(prop | prop);0
move to the large green_room by passing through the small blue_room;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & F green_room);['blue_room', 'green_room'];;;;F(ap_0 & Fap_1);VLTL-Bench;F(prop & Fprop);F(prop & Fprop);0
first, finally, the bridge closes, and then, it will happen that both the escalator moves and the car starts;G(!( bridge_closes )) | F(( bridge_closes ) & F( escalator_moves & car_starts ));G!bridge_closes | F(bridge_closes & F(car_starts & escalator_moves));['car_starts', 'escalator_moves', 'bridge_closes'];first, finally, the bridge_closes, and then, it will happen that both the escalator_moves and the car_starts;;{'car_starts': 'ap_0', 'escalator_moves': 'ap_1', 'bridge_closes': 'ap_2'};G!ap_2 | F(ap_2 & F(ap_0 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop & prop));G!prop | F(prop & F(prop & prop));0
at any time stop_by house until travel_to apple;"F ( ""stop_by(house)"" ) U ""travel_to(apple)""";F stop_by_house U travel_to_apple;['travel_to_apple', 'stop_by_house'];;;;Fap_1 U ap_0;VLTL-Bench;Fprop U prop;Fprop U prop;0
never let_go apple or when possible visit waste basket;"G ( ! ( ""let_go(apple)"" ) ) | F ( ""visit(waste_basket)"" )";G!let_go_apple | F visit_waste_basket;['let_go_apple', 'visit_waste_basket'];;;;G!ap_0 | Fap_1;VLTL-Bench;G!prop | Fprop;G!prop | Fprop;0
forever have apple or whenever go_to apple;"G ( ""have(apple)"" ) | F ( ""go_to(apple)"" )";G have_apple | F go_to_apple;['have_apple', 'go_to_apple'];;;;Gap_0 | Fap_1;VLTL-Bench;Gprop | Fprop;Gprop | Fprop;0
If search the hot_dog holds, then in the next step get_help persists until droping off the laptop to the loading_dock holds, or else get_help holds forever.;"""search(hot_dog)"" -> X ( ( ""get_help"" U ""deliver(laptop,loading_dock)"" ) | G ""get_help"" )";search_hot_dog -> X((get_help U deliver_laptop_loading_dock) | G get_help);['get_help', 'deliver_laptop_loading_dock', 'search_hot_dog'];;;;ap_2 -> X((ap_0 U ap_1) | Gap_0);VLTL-Bench;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);0
Ensure you take traffic_cone_5 from street_4 and then move it to intersection_6;"F ( ""street_4"" & F ( ""p_traffic_cone_5"" & F ( ""intersection_6"" & ""pd"" ) ) )";F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];;;;F(ap_1 & F(ap_2 & F(ap_3 & ap_0)));VLTL-Bench;F(prop & F(prop & F(prop & prop)));F(prop & F(prop & F(prop & prop)));0
always have_in orange or whenever make_to flag;"G ( ""have_in(orange)"" ) | F ( ""make_to(flag)"" )";G have_in_orange | F make_to_flag;['make_to_flag', 'have_in_orange'];;;;Gap_1 | Fap_0;VLTL-Bench;Gprop | Fprop;Gprop | Fprop;0
Pick up box 1 from store 6, deliver it to house 9, and then head to intersection 5 and stay there;<>(store_6&&<>(p_box_1&&<>(house_9&&pd)))&&<>(intersection_5&&[]intersection_5);F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & G intersection_5);['pd', 'store_6', 'house_9', 'intersection_5', 'p_box_1'];Pick up p_box_1 from store_6, deliver it to house_9, and then head to intersection_5 and stay there;{'pd': 'pd', 'store 6': 'store_6', 'house 9': 'house_9', 'intersection 5': 'intersection_5', 'box 1': 'p_box_1'};{'pd': 'ap_0', 'store_6': 'ap_1', 'house_9': 'ap_2', 'intersection_5': 'ap_3', 'p_box_1': 'ap_4'};F(ap_1 & F(ap_4 & F(ap_2 & ap_0))) & F(ap_3 & Gap_3);ConformalNL2LTL;F(prop & F(prop & F(prop & prop))) & F(prop & Gprop);F(prop & F(prop & F(prop & prop))) & F(prop & Gprop);0
always when a house is open or a constructor instantiate objects then sooner or later the semaphore is yellow;G(( house_is_open | constructor_instantiate_objects ) -> F( semaphore_is_yellow ));G((constructor_instantiate_objects | house_is_open) -> F semaphore_is_yellow);['house_is_open', 'constructor_instantiate_objects', 'semaphore_is_yellow'];always when a house_is_open or a constructor_instantiate_objects then sooner or later the semaphore_is_yellow;;{'house_is_open': 'ap_0', 'constructor_instantiate_objects': 'ap_1', 'semaphore_is_yellow': 'ap_2'};G((ap_1 | ap_0) -> Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);0
avoid the red_room and end at the green rectangular room;"( F ( ""green_room"" ) & G ( ! ""red_room"" ) )";F green_room & G!red_room;['red_room', 'green_room'];;;;Fap_1 & G!ap_0;VLTL-Bench;Fprop & G!prop;Fprop & G!prop;0
Stay in parking_lot_9 until you photo of car_2;"""parking_lot_9"" U ( ""car_2"" & ""photo"" )";parking_lot_9 U (car_2 & photo);['photo', 'parking_lot_9', 'car_2'];;;;ap_1 U (ap_2 & ap_0);VLTL-Bench;prop U (prop & prop);prop U (prop & prop);0
Ensure you keep revisiting charging_station_9 as you repeatedly move crate_4 from warehouse_5 to mall_4;"G F ""charging_station_9"" & G F ( ""warehouse_5"" & F ( ""p_crate_4"" & F ( ""mall_4"" & ""pd"" ) ) )";GF charging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd)));['p_crate_4', 'pd', 'warehouse_5', 'charging_station_9', 'mall_4'];;;;GFap_3 & GF(ap_2 & F(ap_0 & F(ap_4 & ap_1)));VLTL-Bench;GFprop & GF(prop & F(prop & F(prop & prop)));GFprop & GF(prop & F(prop & F(prop & prop)));0
it is never the case that a motorbike falls down or a car starts or the train derails;G(!( motorbike_falls_down | car_starts | train_derails ));G!(car_starts | motorbike_falls_down | train_derails);['car_starts', 'train_derails', 'motorbike_falls_down'];it is never the case that a motorbike_falls_down or a car_starts or the train_derails;;{'car_starts': 'ap_0', 'train_derails': 'ap_1', 'motorbike_falls_down': 'ap_2'};G!(ap_0 | ap_2 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);0
Do not at intersection_5 until you reach street_4 as you take pass_4 from house_4 to office_1;"! ""intersection_5"" U ""street_4"" & F ( ""house_4"" & F ( ""p_pass_4"" & F ( ""office_1"" & ""pd"" ) ) )";(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd)));['pd', 'street_4', 'house_4', 'intersection_5', 'p_pass_4', 'office_1'];;;;(!ap_3 U ap_1) & F(ap_2 & F(ap_4 & F(ap_5 & ap_0)));VLTL-Bench;(!prop U prop) & F(prop & F(prop & F(prop & prop)));(!prop U prop) & F(prop & F(prop & F(prop & prop)));0
procure apple or never let_go apple;"""procure(apple)"" | G ( ! ( ""let_go(apple)"" ) )";procure_apple | G!let_go_apple;['procure_apple', 'let_go_apple'];;;;ap_0 | G!ap_1;VLTL-Bench;prop | G!prop;prop | G!prop;0
when possible grab orange or never let_go orange;"F ( ""grab(orange)"" ) | G ( ! ( ""let_go(orange)"" ) )";F grab_orange | G!let_go_orange;['let_go_orange', 'grab_orange'];;;;Fap_1 | G!ap_0;VLTL-Bench;Fprop | G!prop;Fprop | G!prop;0
When get_help happens, pickup the sports_ball must hold now or in the next step.;"G ( ""get_help"" -> ( ""pickup(sports_ball)"" | X ""pickup(sports_ball)"" ) )";G(get_help -> (pickup_sports_ball | X pickup_sports_ball));['get_help', 'pickup_sports_ball'];;;;G(ap_0 -> (ap_1 | Xap_1));VLTL-Bench;G(prop -> (prop | Xprop));G(prop -> (prop | Xprop));0
repeatedly grab tree or when possible spend_time_at tree;"G ( F ( ""grab(tree)"" ) ) | F ( ""spend_time_at(tree)"" )";GF grab_tree | F spend_time_at_tree;['spend_time_at_tree', 'grab_tree'];;;;GFap_1 | Fap_0;VLTL-Bench;GFprop | Fprop;GFprop | Fprop;0
after both the bridge opens and an elevator is blocked, never, a motorbike falls down and a semaphore is red;G(( bridge_opens & elevator_is_blocked ) -> G(!( motorbike_falls_down & semaphore_is_red )));G((bridge_opens & elevator_is_blocked) -> G!(motorbike_falls_down & semaphore_is_red));['semaphore_is_red', 'motorbike_falls_down', 'bridge_opens', 'elevator_is_blocked'];after both the bridge_opens and an elevator_is_blocked, never, a motorbike_falls_down and a semaphore_is_red;;{'semaphore_is_red': 'ap_0', 'motorbike_falls_down': 'ap_1', 'bridge_opens': 'ap_2', 'elevator_is_blocked': 'ap_3'};G((ap_2 & ap_3) -> G!(ap_1 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop & prop));G((prop & prop) -> G!(prop & prop));0
forever touch flag or at some time get apple;"G ( ""touch(flag)"" ) | F ( ""get(apple)"" )";G touch_flag | F get_apple;['get_apple', 'touch_flag'];;;;Gap_1 | Fap_0;VLTL-Bench;Gprop | Fprop;Gprop | Fprop;0
You must always avoid geting help.;"G ( ! ""get_help"" )";G!get_help;['get_help'];;;;G!ap_0;VLTL-Bench;G!prop;G!prop;0
when possible make_contact flag means that never drop orange;"F ( ""make_contact(flag)"" ) -> G ( ! ( ""drop(orange)"" ) )";F make_contact_flag -> G!drop_orange;['drop_orange', 'make_contact_flag'];;;;Fap_1 -> G!ap_0;VLTL-Bench;Fprop -> G!prop;Fprop -> G!prop;0
Whenever record the collision on north_4th_avenue holds, eventually record the car on west_4th_street will hold.;"G ( ""record(collision,north_4th_avenue)"" -> F ""record(car,west_4th_street)"" )";G(record_collision_north_4th_avenue -> F record_car_west_4th_street);['record_collision_north_4th_avenue', 'record_car_west_4th_street'];;;;G(ap_0 -> Fap_1);VLTL-Bench;G(prop -> Fprop);G(prop -> Fprop);0
Ensure you capture a photo of statue_6 and afterward proceed to bench_4 and stay;"F ( ""statue_6"" & ""photo"" & F ( ""bench_4"" & G ""bench_4"" ) )";F(photo & statue_6 & F(bench_4 & G bench_4));['photo', 'statue_6', 'bench_4'];;;;F(ap_0 & ap_1 & F(ap_2 & Gap_2));VLTL-Bench;F(prop & prop & F(prop & Gprop));F(prop & prop & F(prop & Gprop));0
under no circumstances the escalator is blocked or an elevator rises;G(!( escalator_is_blocked | elevator_rises ));G!(elevator_rises | escalator_is_blocked);['elevator_rises', 'escalator_is_blocked'];under no circumstances the escalator_is_blocked or an elevator_rises;;{'elevator_rises': 'ap_0', 'escalator_is_blocked': 'ap_1'};G!(ap_0 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop);G!(prop | prop);0
If communicate the safe_rescuer ever holds, avoid the impending_gas_leak must have held beforehand.;"( F ""communicate(safe_rescuer)"" ) -> ( ! ""communicate(safe_rescuer)"" U ( ""avoid(impending_gas_leak)"" & ! ""communicate(safe_rescuer)"" ) )";F communicate_safe_rescuer -> (!communicate_safe_rescuer U (avoid_impending_gas_leak & !communicate_safe_rescuer));['avoid_impending_gas_leak', 'communicate_safe_rescuer'];;;;Fap_1 -> (!ap_1 U (ap_0 & !ap_1));VLTL-Bench;Fprop -> (!prop U (prop & !prop));Fprop -> (!prop U (prop & !prop));0
always both a motorbike catches fire and a bridge opens implies that absolutely never, the brake is released or the engine starts;G(( motorbike_catches_fire & bridge_opens ) -> G(!( brake_is_released | engine_starts )));G((bridge_opens & motorbike_catches_fire) -> G!(brake_is_released | engine_starts));['bridge_opens', 'motorbike_catches_fire', 'engine_starts', 'brake_is_released'];always both a motorbike_catches_fire and a bridge_opens implies that absolutely never, the brake_is_released or the engine_starts;;{'bridge_opens': 'ap_0', 'motorbike_catches_fire': 'ap_1', 'engine_starts': 'ap_2', 'brake_is_released': 'ap_3'};G((ap_0 & ap_1) -> G!(ap_3 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop | prop));G((prop & prop) -> G!(prop | prop));0
forever, either a bridge closes, the semaphore is broken or a car enters;G( bridge_closes | semaphore_is_broken | car_enters );G(bridge_closes | car_enters | semaphore_is_broken);['car_enters', 'bridge_closes', 'semaphore_is_broken'];forever, either a bridge_closes, the semaphore_is_broken or a car_enters;;{'car_enters': 'ap_0', 'bridge_closes': 'ap_1', 'semaphore_is_broken': 'ap_2'};G(ap_1 | ap_0 | ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop | prop | prop);G(prop | prop | prop);0
first, at a certain moment the bar is closing or a table is brown, and then, it is going to happen that a train has arrived;G(!( bar_is_closing | table_is_brown )) | F(( bar_is_closing | table_is_brown ) & F( train_has_arrived ));G!(bar_is_closing | table_is_brown) | F((bar_is_closing | table_is_brown) & F train_has_arrived);['bar_is_closing', 'table_is_brown', 'train_has_arrived'];first, at a certain moment the bar_is_closing or a table_is_brown, and then, it is going to happen that a train_has_arrived;;{'bar_is_closing': 'ap_0', 'table_is_brown': 'ap_1', 'train_has_arrived': 'ap_2'};G!(ap_0 | ap_1) | F((ap_0 | ap_1) & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop) | F((prop | prop) & Fprop);G!(prop | prop) | F((prop | prop) & Fprop);0
Whenever photo flood and photo gas_leak are equal, photo gas_leak and go_home are equal as well.;"G ( ( ""photo(flood)"" <-> ""photo(gas_leak)"" ) -> ( ""photo(gas_leak)"" <-> ""go_home"" ) )";G((photo_flood <-> photo_gas_leak) -> (go_home <-> photo_gas_leak));['go_home', 'photo_gas_leak', 'photo_flood'];;;;G((ap_2 <-> ap_1) -> (ap_0 <-> ap_1));VLTL-Bench;G((prop <-> prop) -> (prop <-> prop));G((prop <-> prop) -> (prop <-> prop));0
when possible obtain orange or repeatedly go_to waste basket;"F ( ""obtain(orange)"" ) | G ( F ( ""go_to(waste_basket)"" ) )";F obtain_orange | GF go_to_waste_basket;['go_to_waste_basket', 'obtain_orange'];;;;Fap_1 | GFap_0;VLTL-Bench;Fprop | GFprop;Fprop | GFprop;0
it is always true that both the train stops and a sensor gathers information after a sensor captures data or the engine breaks;G(( sensor_captures_data | engine_breaks ) -> G( train_stops & sensor_gathers_information ));G((engine_breaks | sensor_captures_data) -> G(sensor_gathers_information & train_stops));['sensor_captures_data', 'sensor_gathers_information', 'engine_breaks', 'train_stops'];it is always true that both the train_stops and a sensor_gathers_information after a sensor_captures_data or the engine_breaks;;{'sensor_captures_data': 'ap_0', 'sensor_gathers_information': 'ap_1', 'engine_breaks': 'ap_2', 'train_stops': 'ap_3'};G((ap_2 | ap_0) -> G(ap_1 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop & prop));G((prop | prop) -> G(prop & prop));0
Either go_home happens infinitely often, or get_help happens in the next step.;"G F ""go_home"" | X ""get_help""";GF go_home | X get_help;['get_help', 'go_home'];;;;GFap_1 | Xap_0;VLTL-Bench;GFprop | Xprop;GFprop | Xprop;0
always when both the engine stops and the brake is released then at some point the sensor retrieves data and the elevator falls;G(( engine_stops & brake_is_released ) -> F( sensor_retrieves_data & elevator_falls ));G((brake_is_released & engine_stops) -> F(elevator_falls & sensor_retrieves_data));['elevator_falls', 'brake_is_released', 'sensor_retrieves_data', 'engine_stops'];always when both the engine_stops and the brake_is_released then at some point the sensor_retrieves_data and the elevator_falls;;{'elevator_falls': 'ap_0', 'brake_is_released': 'ap_1', 'sensor_retrieves_data': 'ap_2', 'engine_stops': 'ap_3'};G((ap_1 & ap_3) -> F(ap_0 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop & prop));G((prop & prop) -> F(prop & prop));0
Whenever go_home and communicate the safe_victim are equal, communicate the safe_victim and get_help are equal as well.;"G ( ( ""go_home"" <-> ""communicate(safe_victim)"" ) -> ( ""communicate(safe_victim)"" <-> ""get_help"" ) )";G((communicate_safe_victim <-> go_home) -> (communicate_safe_victim <-> get_help));['get_help', 'go_home', 'communicate_safe_victim'];;;;G((ap_2 <-> ap_1) -> (ap_2 <-> ap_0));VLTL-Bench;G((prop <-> prop) -> (prop <-> prop));G((prop <-> prop) -> (prop <-> prop));0
If record unstable_beam ever holds, communicate the safe_rescuer must have held beforehand.;"( F ""record(unstable_beam)"" ) -> ( ! ""record(unstable_beam)"" U ( ""communicate(safe_rescuer)"" & ! ""record(unstable_beam)"" ) )";F record_unstable_beam -> (!record_unstable_beam U (communicate_safe_rescuer & !record_unstable_beam));['communicate_safe_rescuer', 'record_unstable_beam'];;;;Fap_1 -> (!ap_1 U (ap_0 & !ap_1));VLTL-Bench;Fprop -> (!prop U (prop & !prop));Fprop -> (!prop U (prop & !prop));0
